# amp[mV]  adc  adc_err
50.000000  601.027647  0.170273
100.000000  1246.833636  0.134889
150.000000  1935.905489  0.113258
200.000000  2743.668705  0.129662
250.000000  3722.681198  0.136390
300.000000  4654.974363  0.146979
350.000000  5390.788633  0.162255
400.000000  5927.585249  0.153984
450.000000  6396.350827  0.155552
500.000000  6783.868050  0.174503
550.000000  7109.428751  0.175104
600.000000  7425.745965  0.168699
650.000000  7697.450575  0.218060
700.000000  7968.772098  0.202861
1000.000000  9178.766658  0.258566
1100.000000  9569.488938  0.216258
1200.000000  9851.365132  0.220617
1300.000000  10105.672856  0.239527
1400.000000  10403.501688  0.230475
1600.000000  10852.465430  0.218561
1500.000000  10620.579233  0.230470
2000.000000  11672.539729  0.243820
2500.000000  12496.785915  0.252160
3000.000000  13262.321234  0.308647
3500.000000  13878.776413  0.312459
4000.000000  14425.298010  0.314287
